"Ссылка на статью","Заголовок","Редактор, Автор"
"https://docs.python.org/3/whatsnew/3.11.html","What’s New In Python 3.11¶","Release3.11.3DateMay 01, 2023EditorPablo Galindo Salgado"
"https://docs.python.org/3/whatsnew/3.10.html","What’s New In Python 3.10¶","EditorPablo Galindo Salgado"
"https://docs.python.org/3/whatsnew/3.9.html","What’s New In Python 3.9¶","EditorŁukasz Langa"
"https://docs.python.org/3/whatsnew/3.8.html","What’s New In Python 3.8¶","EditorRaymond Hettinger"
"https://docs.python.org/3/whatsnew/3.7.html","What’s New In Python 3.7¶","EditorElvis Pranskevichus <elvis@magic.io>"
"https://docs.python.org/3/whatsnew/3.6.html","What’s New In Python 3.6¶","EditorsElvis Pranskevichus <elvis@magic.io>, Yury Selivanov <yury@magic.io>"
"https://docs.python.org/3/whatsnew/3.5.html","What’s New In Python 3.5¶","EditorsElvis Pranskevichus <elvis@magic.io>, Yury Selivanov <yury@magic.io>"
"https://docs.python.org/3/whatsnew/3.4.html","What’s New In Python 3.4¶","AuthorR. David Murray <rdmurray@bitdance.com> (Editor)"
"https://docs.python.org/3/whatsnew/3.3.html","What’s New In Python 3.3¶","PEP 405 - Python Virtual EnvironmentsPEP written by Carl Meyer; implementation by Carl Meyer and Vinay Sajip"
"https://docs.python.org/3/whatsnew/3.2.html","What’s New In Python 3.2¶","AuthorRaymond Hettinger"
"https://docs.python.org/3/whatsnew/3.1.html","What’s New In Python 3.1¶","AuthorRaymond Hettinger"
"https://docs.python.org/3/whatsnew/3.0.html","What’s New In Python 3.0¶","AuthorGuido van Rossum"
"https://docs.python.org/3/whatsnew/2.7.html","What’s New in Python 2.7¶","AuthorA.M. Kuchling (amk at amk.ca)"
"https://docs.python.org/3/whatsnew/2.6.html","What’s New in Python 2.6¶","AuthorA.M. Kuchling (amk at amk.ca)"
"https://docs.python.org/3/whatsnew/2.5.html","What’s New in Python 2.5¶","AuthorA.M. Kuchling"
"https://docs.python.org/3/whatsnew/2.4.html","What’s New in Python 2.4¶","AuthorA.M. Kuchling"
"https://docs.python.org/3/whatsnew/2.3.html","What’s New in Python 2.3¶","AuthorA.M. Kuchling"
"https://docs.python.org/3/whatsnew/2.2.html","What’s New in Python 2.2¶","AuthorA.M. Kuchling"
"https://docs.python.org/3/whatsnew/2.1.html","What’s New in Python 2.1¶","AuthorA.M. Kuchling"
"https://docs.python.org/3/whatsnew/2.0.html","What’s New in Python 2.0¶","AuthorA.M. Kuchling and Moshe Zadka"
